Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS17_B19083001,ACS17_B19083001s
"01","04000US01","Alabama","Alabama","al",,,"ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4768,0.00321212121212
"02","04000US02","Alaska","Alaska","ak",,,"ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4241,0.00630303030303
"04","04000US04","Arizona","Arizona","az",,,"ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4668,0.00242424242424
"05","04000US05","Arkansas","Arkansas","ar",,,"ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4725,0.00357575757575
"06","04000US06","California","California","ca",,,"ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4866,0.0010303030303
"08","04000US08","Colorado","Colorado","co",,,"ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4553,0.00248484848484
"09","04000US09","Connecticut","Connecticut","ct",,,"ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4943,0.0030909090909
"10","04000US10","Delaware","Delaware","de",,,"ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4811,0.008
"11","04000US11","District of Columbia","District of Columbia","dc",,,"ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5281,0.00715151515151
"12","04000US12","Florida","Florida","fl",,,"ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4859,0.00175757575757
"13","04000US13","Georgia","Georgia","ga",,,"ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.483,0.00169696969696
"15","04000US15","Hawaii","Hawaii","hi",,,"ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4455,0.00490909090909
"16","04000US16","Idaho","Idaho","id",,,"ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4478,0.00624242424242
"17","04000US17","Illinois","Illinois","il",,,"ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4818,0.00169696969696
"18","04000US18","Indiana","Indiana","in",,,"ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4497,0.00272727272727
"19","04000US19","Iowa","Iowa","ia",,,"ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4381,0.00327272727272
"20","04000US20","Kansas","Kansas","ks",,,"ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4539,0.00387878787878
"21","04000US21","Kentucky","Kentucky","ky",,,"ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4784,0.0030909090909
"22","04000US22","Louisiana","Louisiana","la",,,"ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4935,0.00284848484848
"23","04000US23","Maine","Maine","me",,,"ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4526,0.00575757575757
"24","04000US24","Maryland","Maryland","md",,,"ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,0.00230303030303
"25","04000US25","Massachusetts","Massachusetts","ma",,,"ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4851,0.00224242424242
"26","04000US26","Michigan","Michigan","mi",,,"ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4671,0.00175757575757
"27","04000US27","Minnesota","Minnesota","mn",,,"ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4516,0.0020606060606
"28","04000US28","Mississippi","Mississippi","ms",,,"ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,0.0040606060606
"29","04000US29","Missouri","Missouri","mo",,,"ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4618,0.00248484848484
"30","04000US30","Montana","Montana","mt",,,"ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4539,0.00612121212121
"31","04000US31","Nebraska","Nebraska","ne",,,"ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4391,0.00393939393939
"32","04000US32","Nevada","Nevada","nv",,,"ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4606,0.00460606060606
"33","04000US33","New Hampshire","New Hampshire","nh",,,"ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4386,0.00460606060606
"34","04000US34","New Jersey","New Jersey","nj",,,"ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4794,0.00193939393939
"35","04000US35","New Mexico","New Mexico","nm",,,"ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4776,0.00418181818181
"36","04000US36","New York","New York","ny",,,"ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5157,0.00187878787878
"37","04000US37","North Carolina","North Carolina","nc",,,"ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4763,0.00193939393939
"38","04000US38","North Dakota","North Dakota","nd",,,"ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4546,0.00636363636363
"39","04000US39","Ohio","Ohio","oh",,,"ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4642,0.00193939393939
"40","04000US40","Oklahoma","Oklahoma","ok",,,"ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4658,0.00242424242424
"41","04000US41","Oregon","Oregon","or",,,"ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4593,0.00351515151515
