Geo_FILEID,Geo_STUSAB,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_FIPS,Geo_QName,ACS19_B19083001,ACS19_B19083001s
"ACSSF","al","00","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01","Alabama",,,"01","Alabama",0.4741,0.003151515
"ACSSF","ak","00","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02","Alaska",,,"02","Alaska",0.4376,0.007454545
"ACSSF","az","00","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04","Arizona",,,"04","Arizona",0.4591,0.002424242
"ACSSF","ar","00","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05","Arkansas",,,"05","Arkansas",0.475,0.003878788
"ACSSF","ca","00","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06","California",,,"06","California",0.4866,0.001090909
"ACSSF","co","00","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08","Colorado",,,"08","Colorado",0.4548,0.002909091
"ACSSF","ct","00","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09","Connecticut",,,"09","Connecticut",0.5024,0.003212121
"ACSSF","de","00","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10","Delaware",,,"10","Delaware",0.4509,0.007636364
"ACSSF","dc","00","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",,,"11","District of Columbia",0.5115,0.006
"ACSSF","fl","00","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12","Florida",,,"12","Florida",0.4808,0.001575758
"ACSSF","ga","00","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13","Georgia",,,"13","Georgia",0.4795,0.002484848
"ACSSF","hi","00","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15","Hawaii",,,"15","Hawaii",0.4397,0.004666667
"ACSSF","id","00","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16","Idaho",,,"16","Idaho",0.4337,0.005939394
"ACSSF","il","00","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17","Illinois",,,"17","Illinois",0.48,0.001939394
"ACSSF","in","00","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18","Indiana",,,"18","Indiana",0.4584,0.002909091
"ACSSF","ia","00","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19","Iowa",,,"19","Iowa",0.4422,0.003393939
"ACSSF","ks","00","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20","Kansas",,,"20","Kansas",0.45,0.003515152
"ACSSF","ky","00","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21","Kentucky",,,"21","Kentucky",0.4764,0.003151515
"ACSSF","la","00","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22","Louisiana",,,"22","Louisiana",0.4978,0.002969697
"ACSSF","me","00","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23","Maine",,,"23","Maine",0.449,0.005090909
"ACSSF","md","00","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24","Maryland",,,"24","Maryland",0.4558,0.002181818
"ACSSF","ma","00","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25","Massachusetts",,,"25","Massachusetts",0.4803,0.002363636
"ACSSF","mi","00","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26","Michigan",,,"26","Michigan",0.4634,0.002
"ACSSF","mn","00","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27","Minnesota",,,"27","Minnesota",0.4434,0.002484848
"ACSSF","ms","00","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28","Mississippi",,,"28","Mississippi",0.4896,0.005151515
