Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS21_B19083001,ACS21_B19083001s
"01","Alabama","ACSSF","al","040","00","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US01","Alabama",,,,0.4823,0.003030303
"02","Alaska","ACSSF","ak","040","00","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US02","Alaska",,,,0.4392,0.006606061
"04","Arizona","ACSSF","az","040","00","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US04","Arizona",,,,0.4629,0.002484848
"05","Arkansas","ACSSF","ar","040","00","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US05","Arkansas",,,,0.4751,0.003818182
"06","California","ACSSF","ca","040","00","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US06","California",,,,0.4924,0.001151515
"08","Colorado","ACSSF","co","040","00","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US08","Colorado",,,,0.4604,0.002787879
"09","Connecticut","ACSSF","ct","040","00","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US09","Connecticut",,,,0.4985,0.003030303
"10","Delaware","ACSSF","de","040","00","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US10","Delaware",,,,0.4547,0.009333333
"11","District of Columbia","ACSSF","dc","040","00","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",,,,0.5305,0.007818182
"12","Florida","ACSSF","fl","040","00","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US12","Florida",,,,0.4869,0.001818182
"13","Georgia","ACSSF","ga","040","00","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US13","Georgia",,,,0.4787,0.003151515
"15","Hawaii","ACSSF","hi","040","00","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US15","Hawaii",,,,0.4552,0.005878788
"16","Idaho","ACSSF","id","040","00","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US16","Idaho",,,,0.4577,0.007393939
"17","Illinois","ACSSF","il","040","00","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US17","Illinois",,,,0.4824,0.002181818
"18","Indiana","ACSSF","in","040","00","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US18","Indiana",,,,0.448,0.003030303
"19","Iowa","ACSSF","ia","040","00","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US19","Iowa",,,,0.4489,0.004242424
"20","Kansas","ACSSF","ks","040","00","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US20","Kansas",,,,0.4599,0.004121212
"21","Kentucky","ACSSF","ky","040","00","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US21","Kentucky",,,,0.4757,0.003272727
"22","Louisiana","ACSSF","la","040","00","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US22","Louisiana",,,,0.4988,0.003393939
"23","Maine","ACSSF","me","040","00","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US23","Maine",,,,0.4663,0.006606061
"24","Maryland","ACSSF","md","040","00","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US24","Maryland",,,,0.4631,0.002848485
"25","Massachusetts","ACSSF","ma","040","00","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US25","Massachusetts",,,,0.4893,0.002242424
"26","Michigan","ACSSF","mi","040","00","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US26","Michigan",,,,0.4659,0.002
"27","Minnesota","ACSSF","mn","040","00","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US27","Minnesota",,,,0.4493,0.002484848
"28","Mississippi","ACSSF","ms","040","00","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US28","Mississippi",,,,0.4808,0.00430303
"29","Missouri","ACSSF","mo","040","00","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US29","Missouri",,,,0.4706,0.002727273
"30","Montana","ACSSF","mt","040","00","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US30","Montana",,,,0.4693,0.007575758
"31","Nebraska","ACSSF","ne","040","00","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US31","Nebraska",,,,0.456,0.003878788
"32","Nevada","ACSSF","nv","040","00","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US32","Nevada",,,,0.4726,0.004060606
"33","New Hampshire","ACSSF","nh","040","00","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US33","New Hampshire",,,,0.4348,0.005333333
"34","New Jersey","ACSSF","nj","040","00","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US34","New Jersey",,,,0.4853,0.002424242
"35","New Mexico","ACSSF","nm","040","00","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04000US35","New Mexico",,,,0.4861,0.00569697
