Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2021)"
District of Columbia,100
Oregon,94
Vermont,86
Hawaii,84
California,79
Washington,78
Colorado,74
Massachusetts,72
Nevada,71
Arizona,68
Maine,67
New Jersey,66
Rhode Island,66
Connecticut,65
New Hampshire,65
Georgia,64
New York,64
Utah,63
Maryland,61
Virginia,60
Florida,60
Illinois,59
North Carolina,57
Michigan,57
Minnesota,56
Pennsylvania,56
Delaware,56
Idaho,53
Ohio,53
New Mexico,52
Montana,50
Texas,50
South Carolina,50
Tennessee,49
Wisconsin,48
Missouri,48
Indiana,47
Alaska,45
Kansas,43
Oklahoma,43
Kentucky,41
Louisiana,41
Nebraska,41
Wyoming,38
Iowa,38
Alabama,38
Arkansas,37
Mississippi,32
West Virginia,31
North Dakota,29
South Dakota,28
