Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2022)"
Oregon,100
District of Columbia,98
Colorado,81
Vermont,81
Washington,79
Hawaii,76
California,76
Nevada,71
Maine,71
Massachusetts,67
New York,67
New Jersey,66
Georgia,65
Maryland,65
New Hampshire,65
Rhode Island,64
Virginia,62
Arizona,62
Connecticut,60
Pennsylvania,58
Utah,58
Illinois,58
Florida,57
Michigan,57
North Carolina,56
Minnesota,54
Ohio,51
Wisconsin,51
Alaska,51
New Mexico,51
Texas,50
Tennessee,50
Delaware,50
Montana,49
Missouri,48
Indiana,48
Idaho,47
South Carolina,45
Kansas,43
Nebraska,42
Oklahoma,40
Louisiana,39
Alabama,38
Kentucky,38
Arkansas,37
Wyoming,36
Iowa,34
West Virginia,32
South Dakota,30
Mississippi,28
North Dakota,28
