Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2022)"
Oregon,100
District of Columbia,99
Washington,88
Vermont,83
Colorado,79
Hawaii,75
California,75
Maine,71
Nevada,70
New Jersey,69
New York,67
Massachusetts,66
Maryland,64
New Hampshire,64
Georgia,64
Arizona,63
Pennsylvania,60
Rhode Island,59
Illinois,59
Connecticut,59
Minnesota,58
Virginia,58
North Carolina,57
Utah,57
Michigan,56
Florida,56
Delaware,55
Alaska,53
New Mexico,53
Texas,52
Ohio,51
Missouri,49
Wisconsin,49
Tennessee,49
Montana,48
Indiana,48
South Carolina,46
Kansas,45
Idaho,43
Nebraska,41
Kentucky,39
Iowa,39
Oklahoma,38
Alabama,37
Louisiana,37
Arkansas,37
Wyoming,36
West Virginia,32
South Dakota,30
Mississippi,29
North Dakota,27
