Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2022)"
District of Columbia,100
Oregon,99
Vermont,80
Colorado,77
Washington,77
Nevada,76
California,73
Hawaii,73
Maine,70
Massachusetts,67
New York,64
New Jersey,64
Georgia,64
Maryland,64
New Hampshire,63
Arizona,61
Virginia,60
Connecticut,60
Rhode Island,60
Utah,58
Illinois,57
North Carolina,56
Delaware,56
Michigan,56
Pennsylvania,55
Florida,54
Minnesota,54
Ohio,54
New Mexico,52
Wisconsin,51
Alaska,49
Texas,49
Missouri,48
Tennessee,48
Montana,48
Idaho,47
Indiana,45
Kansas,44
South Carolina,43
Oklahoma,39
Iowa,38
Arkansas,38
Kentucky,38
Nebraska,38
Alabama,36
Louisiana,36
Wyoming,35
West Virginia,31
South Dakota,28
Mississippi,28
North Dakota,26
