Category: All categories

Region,"vegan + vegetarian + ""dairy free"": (2022)"
District of Columbia,100
Oregon,97
Vermont,82
Washington,80
California,75
Colorado,74
Hawaii,72
Maine,70
New York,67
Massachusetts,67
Nevada,66
New Jersey,65
Georgia,65
New Hampshire,64
Maryland,62
Arizona,61
Connecticut,60
Virginia,59
Pennsylvania,58
Rhode Island,58
Florida,57
Illinois,57
Utah,56
Michigan,53
North Carolina,52
Delaware,52
Minnesota,50
New Mexico,49
Ohio,49
Wisconsin,48
Alaska,47
Tennessee,47
Missouri,47
South Carolina,47
Texas,47
Montana,46
Idaho,45
Kansas,45
Indiana,43
Nebraska,39
Kentucky,38
Oklahoma,37
Iowa,37
Alabama,36
Louisiana,36
Arkansas,35
Wyoming,35
West Virginia,29
South Dakota,28
Mississippi,28
North Dakota,26
