Category: All categories

Region,"""animal testing"" + ""cruelty free"": (2022)"
California,100
New York,96
Oregon,95
Colorado,85
New Hampshire,85
Washington,82
Nevada,82
Hawaii,81
Maine,78
Delaware,77
Rhode Island,77
Arizona,76
Wisconsin,76
Vermont,75
Idaho,73
Connecticut,72
Virginia,72
Minnesota,71
New Mexico,71
Iowa,70
Massachusetts,70
New Jersey,69
Kansas,69
Illinois,68
West Virginia,68
Kentucky,68
Alaska,68
Utah,67
Michigan,67
Pennsylvania,66
Florida,65
Indiana,65
Nebraska,65
Maryland,63
Ohio,62
North Carolina,62
Montana,61
District of Columbia,60
Texas,60
South Carolina,59
Tennessee,58
South Dakota,58
Oklahoma,57
Missouri,56
North Dakota,55
Arkansas,55
Georgia,53
Louisiana,43
Wyoming,37
Alabama,37
Mississippi,37
