Category: All categories

Region,"""grass fed"" + ""free range"" + ""cage free"": (2022)"
Maine,100
Colorado,84
Vermont,78
Idaho,74
Hawaii,71
California,66
Montana,65
New Hampshire,65
Arizona,65
Oregon,63
Utah,63
Washington,61
Connecticut,60
Maryland,59
Florida,58
Wisconsin,57
Minnesota,57
Nevada,56
Wyoming,56
Tennessee,56
Texas,56
Rhode Island,56
Kansas,55
Alaska,55
Massachusetts,54
New York,54
Oklahoma,53
Michigan,53
New Jersey,52
Missouri,52
New Mexico,52
Delaware,52
North Carolina,50
Iowa,49
South Dakota,49
South Carolina,49
Nebraska,49
Illinois,47
Arkansas,47
Indiana,47
Pennsylvania,47
Virginia,46
Alabama,46
Kentucky,45
West Virginia,45
District of Columbia,44
Ohio,44
Georgia,44
North Dakota,41
Louisiana,40
Mississippi,39
