Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2021)"
Oregon,100
District of Columbia,96
Hawaii,90
Vermont,87
California,83
Washington,83
Nevada,79
Colorado,79
Maine,74
New Jersey,73
Massachusetts,71
Maryland,70
New York,70
Connecticut,69
Arizona,69
Utah,69
Rhode Island,68
Georgia,67
Florida,66
Virginia,66
New Hampshire,65
Michigan,63
Illinois,63
Delaware,62
North Carolina,60
Pennsylvania,59
Ohio,58
Wisconsin,58
Minnesota,57
Texas,57
Missouri,56
New Mexico,55
Idaho,54
Tennessee,53
Indiana,52
Montana,52
South Carolina,51
Alaska,49
Louisiana,46
Kansas,46
Nebraska,45
Kentucky,45
Oklahoma,44
Iowa,43
Arkansas,42
Alabama,42
Wyoming,41
West Virginia,35
Mississippi,34
North Dakota,32
South Dakota,30
