Category: All categories

Region,"vegan + vegetarian + ""dairy free"" + ""animal testing"" + ""cruelty free"" + ""grass fed"" + ""free range"" + ""cage free"": (2021)"
District of Columbia,100
Oregon,98
Hawaii,93
Vermont,87
Washington,86
California,84
Colorado,78
Nevada,75
Maine,73
Connecticut,73
Arizona,73
New Jersey,71
New York,70
Massachusetts,69
Maryland,67
Georgia,66
Rhode Island,66
Illinois,65
Virginia,64
New Hampshire,63
North Carolina,60
Michigan,60
Florida,60
Pennsylvania,59
Utah,58
Minnesota,58
Delaware,57
Ohio,57
Texas,57
Idaho,55
Wisconsin,54
New Mexico,54
Missouri,51
Tennessee,51
South Carolina,50
Montana,50
Indiana,49
Alaska,47
Kansas,47
Oklahoma,45
Kentucky,44
Louisiana,42
Nebraska,42
Iowa,41
Wyoming,40
Arkansas,40
Alabama,39
West Virginia,35
Mississippi,34
North Dakota,31
South Dakota,30
