state,year,gini,bachelors_or_higher_percent,management_percent,income_median,income_mean,population,male_percent,age_median,white_percent,population_density,search_interest
Alabama,2006,47.2000002861023,21.1,30.79723580311079,38783,5.3017,4599030,48.50140138246543,37.2,70.40523762619509,0.9080533360095404,31
Alaska,2006,41.6999995708466,26.9,34.958991748755494,59393,7.3358,670053,51.45219855742754,33.5,68.67665692116893,0.01173425535763786,54.1
Arizona,2006,45.3999996185303,25.5,32.582320433284664,47265,6.4021,6166318,50.03522361318375,34.6,76.89045553602652,0.5425490809711928,53
Arkansas,2006,46.000000834465,18.2,28.583395413228292,36599,4.9322,2810872,49.007532182184036,37.1,78.56010519155622,0.5406270277181711,29.2
California,2006,46.599999070167506,29,34.749116208422734,56645,7.7386,36457549,49.99040116492746,34.4,59.823429161406324,2.3391435454086618,65.7
Colorado,2006,44.9999988079071,34.3,36.99161943081848,52015,6.9334,4753377,50.350624408709855,35.4,82.78264063633077,0.4586560285002787,51.9
Connecticut,2006,47.9999989271164,33.7,38.61931838792759,63422,8.7856,3504809,48.67146825975395,39.1,79.9000459083505,7.237791156256521,51
Delaware,2006,43.3999985456467,27,35.20119745172835,52833,6.8473,853476,48.455961268975344,37.5,72.13301838598859,4.380048089768287,43.2
District of Columbia,2006,53.7000000476837,45.9,56.082327645998056,51847,8.1991,581530,46.87703127955565,35,34.45995907347858,95.13596895561277,55.2
Florida,2006,46.700000762939496,25.3,31.47993769975173,45495,6.2637,18089889,49.07805680841933,39.8,76.10465713747608,3.371618940856997,39.7
Georgia,2006,46.0999995470047,26.6,33.1532395242317,46832,6.2744,9363941,49.271209632781755,34.6,62.11607911668815,1.622385678685453,45.3
Hawaii,2006,43.7999993562698,29.7,33.0601218229537,61160,7.7805,1285498,50.02520423991324,37.2,26.254961112347118,2.0015601052667997,56.7
Idaho,2006,42.1000003814697,23.3,31.27832525867386,42865,5.4659,1466465,50.18674158605899,34.3,92.5442475613124,0.17744116460228074,43.1
Illinois,2006,46.2000012397766,28.9,34.467023118467,52006,6.9647,12831970,49.2148828278121,35.7,70.71909457394305,2.3115163548454807,49.3
Indiana,2006,43.2000011205673,21.7,29.879813387697023,45394,5.7601,6313520,49.17163484078612,36.3,85.96727340691088,1.76226467208684,45.8
Iowa,2006,42.399999499321,24,32.63487025414564,44491,5.626,2982085,49.30989559318396,37.8,92.97303732120312,0.5339125943268366,39.8
Kansas,2006,44.1000014543533,28.6,34.35735008040344,45478,5.927,2764075,49.62285755632535,36.3,85.41906424391523,0.33807771905002215,34.9
Kentucky,2006,46.000000834465,20,30.94277151723881,39372,5.2037,4206074,48.94799758634774,37.3,89.45565389481973,1.0650529548147152,47.4
Louisiana,2006,47.4999994039536,20.3,29.633862956713863,39337,5.365,4287768,48.484759436611306,35.6,64.37458836392268,0.9922925899453101,32.1
Maine,2006,42.800000309944195,25.8,32.67402099790442,43439,5.4788,1321574,48.81709234594506,41,95.76013147958419,0.42845604633228646,67.7
Maryland,2006,43.299999833107,35.1,42.57521620486402,65144,8.3367,5615727,48.36189508499968,37.3,61.28319628073088,5.782709370607865,57
Massachusetts,2006,46.0999995470047,37,41.160524934447395,59963,7.8264,6437193,48.414518564225126,38.3,82.79347846180781,8.25179733130903,57.3
Michigan,2006,44.400000572204604,24.5,32.56506027755003,47182,6.1248,10095643,49.21568641046439,37.3,79.50503994644026,1.7834196056473925,51.7
Minnesota,2006,43.0000007152557,30.4,36.48154063530885,54023,6.8637,5167101,49.69688032031888,36.8,87.84339613257028,0.6489143034314534,49.3
Mississippi,2006,47.0999985933304,18.8,28.111506722868025,34473,4.7501,2910540,48.5133686532396,35.4,60.1021116356415,0.6202600099058866,36.1
Missouri,2006,44.900000095367396,24.3,31.948547981488122,42841,5.6711,5842713,48.810047661077995,37.2,83.96496627508489,0.8498937860731759,39.5
Montana,2006,42.599999904632604,27.4,33.34082036472539,40627,5.1213,944632,49.87730671838346,39.5,89.68487199247961,0.06490069359181279,38
Nebraska,2006,43.0000007152557,26.9,34.189294185220746,45474,5.7636,1768331,49.58070632703945,36,88.6135005267679,0.2301978510988905,39
Nevada,2006,43.3999985456467,20.8,26.518162582491307,52998,6.8277,2495529,50.98906885073266,35.6,73.64610870080051,0.2271544244493537,45.9
New Hampshire,2006,41.6999995708466,31.9,35.59069999744599,59683,7.296,1314895,49.226896444202765,39.3,95.08219287471623,1.4685405334157227,57.4
New Jersey,2006,45.8000004291534,33.4,38.02398420294939,64470,8.5659,8724560,48.82961433012095,38.2,69.60992875285402,11.862358149449983,48.5
